,input,target
876,الخطوط الجوية اليابانية، رحلة الطيران رقم واحد اتنين تلاتة.,شركات الطيران اليابانية ، الرحلة رقم واحد اثنين ثلاثة.
877,أنا لازم أشتري شامبو.,لا بد لي من شراء الشامبو.
878,ممكن تحكيلي متى راح نوصل على مركز المدينة؟,هل يمكن أن تخبرني متى سنصل إلى وسط المدينة؟
879,وين أقرب لحام؟,أين اللحام الأقرب؟
880,احنا حابيين نضل أربع ليالي من واحد أغسطس.,نحن أقمشة ، نضل أربع ليال من أغسطس.
881,شو اسم هاي الوردة؟,ما هو اسم الوردة؟
882,خمسطعش سبتمبر هو يوم احترام المسنين.,الخامس من سبتمبر هو يوم احترام المسنين.
883,ما عندي صابون في الغرفة.,ليس لدي صابون في الغرفة.
884,في أي اشي ممكن أخده عشان هاد الطفح الجلدي؟,في أي شيء من الممكن أخذه بسبب هذا الطفح الجلدي؟
885,بتقدر تغير الصياغة للي انت حكيته هلأ؟,يمكنك تغيير الصيغة التي أخبرتها؟
886,كم بده وقت عشان ياخد الطلب؟,كم من الوقت يبدو أن يأخذ الطلب؟
887,ممكن تحكي بصوت أعلى شوي، لو سمحت؟,هل يمكنك إخبار صوت أعلى من فضلك؟
888,كم راح يكون طولها قبل ما تطلع؟,كم من الوقت سيكون طولها قبل البحث؟
889,وين معلومات الرياضة؟,أين هي المعلومات الرياضية؟
890,هي المقاس هون، اللي حكيت عنه المقاس العادي، راح أخده.,إنه الحجم هنا ، الذي أخبرته بالحجم العادي ، أخذته.
891,وين راح تخلص الرحلة، ومتى؟,أين سيتم حفظ الرحلة ، ومتى؟
892,وين لازم أغير القطار عشان أوصل لادنبرة؟,أين يجب أن أغير القطار للوصول إلى محملة؟
893,أنا بدي أحط هاد في صندوق حفظ أمانات.,أريد أن أضع هذا في الحفرة.
894,وين بقدر أصرف فلوسي؟,أين أنفق أموالي؟
895,ممكن نترك أغراضنا، إلا الأشياء الغالية، في الباص؟,هل يمكننا ترك أغراضنا ، باستثناء الأشياء الثمينة ، في الحافلة؟
896,أنا مستغرب ليش كل هاد المصروف على فاتورتي.,أنا مندهش ، لماذا كل المصاريف على فاتورتي.
897,أنا راح أدفع خمسين دولار.,سأدفع خمسين دولارًا.
898,هلأ أنا عرفت شو اللي كان غلط.,كنت أعرف ما هو الخطأ.
899,انا ايكيدا بيحكي. عندي حجز لطاولة الساعة ستة ونص المساء. بس أنا آسف راح أوصل متأخر نص ساعة.,أنا متأكد من أن أخبرني. لدي حجز طاولة ستة أدوات ونص المساء. لكنني آسف ، سأصل متأخراً لمدة ساعة.
900,كم أوقية من العطر ممكن أخد معي بدون رسوم جمركية؟,كم مرة من العطور التي يمكنك أن تأخذها معي بدون واجبات جمركية؟
901,بس للسياحة.,فقط للسياحة.
902,هيك تمام، لو سمحت وقعهم. كيف بتحبه يكون؟,هيك بخير ، إذا سمحت بتأثيرها. كيف تحب ذلك؟
903,لسا في عندك مقاعد لعرض الليلة؟,هل لديك مقاعد للعرض الليلة؟
904,أنا بدي واحد كبير.,اريد واحدة كبيرة.
905,أنا نمت بين منبه الساعة ستة ونص.,نمت بين ست ساعات ونص.
906,أنا مصور حر.,أنا مصور مجاني.
907,التجار ممكن يحولوا الدولارات لحيل الكازينو. لازم نروح؟,يمكن للتجار تحويل الدولارات إلى حيل الكازينو. علينا أن نذهب؟
908,عنا حوالي تلاتين نوع من زيوت الحمام.,حوالي نوعين من زيوت الحمام.
909,راح يكون عندي الاقتراح الك الأسبوع الجاي.,سيكون لدي اقتراح للأسبوع المقبل.
910,شكراً الك. كم سعر هاي الكفوف؟,شكرا لك. كم هو الكفوف؟
911,أنا لازم أروح. راح أحكي معك بعدين.,أحتاج إلى الذهاب ، سأخبرك بعدين.
912,بدي حفاظات للاستعمال مرة وحدة.,أريد استخدامه للاستخدام مرة واحدة.
913,من وين أصل نشأة سمكة الفراشة؟,أين أصل سمك الفراشة؟
914,ممكن تحولي اياهم لدولارات، لو سمحت؟,هل يمكنك تجربتهم إلى دولارات من فضلك؟
915,احنا كتير محظوظين. في عندهم واحد مقاسه أربعة في محل ألا موانا.,نحن محظوظون للغاية. لديهم حجم واحد من أربعة في مكان al -mawana.
916,في هون ليموزين؟,في هون ليمزين؟
917,ممكن تبعتلي مكالمة تصحيني فيها الساعة خمسة ونص الصبح؟,هل يمكنك استدعاء مكالمة تستيقظ في الساعة الخامسة ونص الصباح؟
918,أنا بفضل غرفة هادية.,أنا بفضل غرفة هادئة.
919,بدي مزيل للمناكير.,أريد مزيل العرق.
920,بدي بطارية.,أريد بطارية.
921,في هناك فرقة موسيقية لايف أو دي جيه؟,في هناك فرقة موسيقى حية أو دي جي؟
922,بقدر أستأجر معدات الغطس؟,بقدر ما استأجر معدات الغوص؟
923,أنا بدي أحجز غرفة لمدة أربع ليالي من اتنين وعشرين ديسمبر.,أريد حجز غرفة لمدة أربع ليالٍ من اثنين ديسمبر.
924,هاي الشنطة بتلائم الجو بكل أحواله؟,مرحبًا ، الحقيبة مناسبة للطقس في جميع ظروفها؟
925,بدي دونت، لو سمحت.,أريد ارضاء.
926,بدي استأجر سيارة أوتوماتيك ليومين.,أريد استئجار سيارة تلقائية لمدة يومين.
927,أنا راحت على رحلة الطيران عشرين لسان فرانسيسكو.,ذهبت إلى رحلة عشرين فرانسيسكو.
928,كم بكلف للمطار؟,كم عدد تكاليف المطار؟
929,هيك تمام. متى راح يكون؟,هيك بخير. متى سيكون ذلك؟
930,كم عمر بنتك؟,كم عمر ابنتك؟
931,ممكن تحكيلي عن أوتيلات رخيصة ونظيفة؟,هل يمكن أن تخبرني عن المتداول الرخيص والنظيف؟
932,ممكن نحجزلك غرفة مريحة في قصر قديم قريب من نادي الخليج المشهور.,هل يمكننا عقد غرفة مريحة في قصر قديم بالقرب من نادي الخليج الشهير.
933,أنا بنصحك بهاد لأنه مصنوع من مواد طبيعية مية بالمية.,أنصحك بأنه مصنوع من مواد طبيعية بالماء.
934,بوقف القطار عند برايتون؟,عن طريق إيقاف القطار في برايتون؟
935,بتقدر تحكيلي من وين بلاقي سيارة أجرة؟,هل يمكن أن تخبرني أين ألتقي بسيارة أجرة؟
936,بطاقتين من الدرجة التانية، لو سمحت.,بطاقتين ثانيتين -من فضلك.
937,أنا بدي أبعت فاكس.,أريد بيع الفاكس.
938,بدي مكواية للسفر.,أريد السفر للسفر.
939,بقدر أجبلك أي اشي؟,طالما أنك لا تفعل أي شيء؟
940,يومي؟ أنا خايف من السؤال، بس شو قصدك؟,يوميًا؟ أخشى السؤال ، لكن ماذا تقصد؟
941,بدي واحد بيقدر يمسك الوثائق اللي بحجم الورق عادي بدون ما يتنيهم.,أريد الشخص الذي يمكنه الاحتفاظ بمستندات حجم الورق العادي دون ما يرغبون فيه.
942,اه، بس مش كتير قوي.,اه ، ولكن ليس قويا جدا.
943,أنا عندي حساسية من البسس.,لدي حساسية من الأساس.
944,اه، لازم يكون عندك رخصة سواقة، اه، ولازم يكون عندك رخصة تاكسي وتفويض ليموزين.,أه ، يجب أن يكون لديك رخصة قيادة ، أه ، وعليك أن يكون لديك ترخيص سيارة أجرة وترخيص ليموزين.
945,تفضل، أستاذ.,من فضلك ، أستاذ.
946,مش قادر أبين أنه المي عندي سخنة.,أنا غير قادر على إظهار أن لدي حرارة.
947,أنا بدي أحجز غرفة لهاي الليلة.,أريد حجز غرفة الليلة.
948,لا، هي بتتضمن الضريبة وقيمة الخدمة.,لا ، ويشمل الضريبة وقيمة الخدمة.
949,بتحب تيجي معي على التسوق بعد الظهر؟,هل تحب أن تأتي معي للتسوق في فترة ما بعد الظهر؟
950,مرحبا، هاد فعلا فستان حلو.,مرحبًا ، هذا حقًا فستان حلو.
951,حاليا، مكالمتك بلشت. تفضل لو سمحت.,حاليا ، مكالمتك ليست.
952,كم رقم البوابة؟,كم هي البوابة؟
953,شو هو أحسن تذكار ممكن من هاواي؟,ما هو أفضل نصب تذكاري ممكن من هاواي؟
954,بقدر أروح هناك من خلال القطار؟,بينما أذهب إلى هناك عبر القطار؟
955,بدي مجفف للشعر.,أريد مجفف شعر.
956,راح نضل نحكي هيك وين ما نروح؟,سوف نستمر في إخبار Heck ، إلى أين نحن ذاهبون؟
957,أنا اجيت من النرويج.,جئت من النرويج.
958,من عشرة لطنعش لو سمحت.,من عشرة إلى قهوة من فضلك.
959,أكيد. خليني أشوف. انت انجرحت من المرجان، بتوقع.,بالطبع. دعني أرى. لقد أصبت من الشعاب المرجانية ، مع التوقع.
960,بس للاحتياط، أعطيني رقم الشخص المسؤول.,ولكن للحجز ، أعطني الرقم المسؤول للشخص.
961,في طريق سريع؟,على طريق سريع؟
962,ليش ما اجيت على الحفلة مبارح؟,لماذا لم تحصل على الحفلة؟
963,كان في حادث سير.,كان في حادث مروري.
964,آسف، أنا أخدت الرقم الغلط.,آسف ، لقد أخطأت.
965,لو سمحت دخل البن الخاص فيك.,إذا سمحت لدخل القهوة فيك.
966,مش قادر أغير الصورة.,أنا غير قادر على تغيير الصورة.
967,واحد برجر بالجبنة وعصير برتقال، لو سمحت.,برغر واحد مع الجبن وعصير البرتقال ، من فضلك.
968,هي جواز سفري.,إنه جواز سفر.
969,ليش، شكراً كتير الك. اه، بقدر أطلع فوق على القمة؟,لماذا ، شكرا جزيلا لك ، هل ، بقدر ما استيقظت إلى القمة؟
970,بقدر أحجز تذكرتين للحفلة الموسيقية الجمعة الجاي؟,بقدر ما أحجز تذكرتين لحفل الجمعة؟
971,في مسافر تاني هناك حكي انه ممكن يبدلو الكراسي معكم.,في مسافر آخر ، هناك رواية يمكنهم استبدال الكراسي معك.
972,بقدر أمدد قعدتي؟,طالما أقدم مقعدي؟
973,حكى، بتعرف أي اشي بستحق الشوفة قريب من هون؟,خذها ، أنت تعرف أي شيء تستحق رؤيته قريب من الهون؟
974,لا، أنا بدي استأجر نص مجموعة من المضارب وشوز.,لا ، أريد استئجار نص لمجموعة من المضاربين والهزات.
975,ممكن تخبرني بس تبين الشنطة الضايعة؟,هل يمكن أن تخبرني ، لكن إظهار الحقيبة المفقودة؟
976,شو بسمو هاي الحديقة الوطنية؟,ما هي الحديقة الوطنية؟
977,أنا انخدشت.,لقد خدشت.
978,وين في مكان منيح للسياحة؟,أين في مكان السياحة؟
979,ممكن تجبلي شوية فواكة؟,هل يمكنك الحصول على القليل من الثمار؟
980,ممكن أتغدى هلأ؟,هل يمكنني الغداء؟
981,بدي أصرف هاي الدولارات.,أريد أن أنفق هذه الدولارات.
982,بدي تاكسي. أنا في ساوث مين وليبرتي.,أريد سيارة أجرة أنا في ساوث مين والحرية.
983,أكيد، بدك اياه كيرلي؟,بالتأكيد هل تريد كورلي؟
984,هاد مش تفاح هاد خوخ.,هذه ليست تفاحة من الخوخ.
985,راح أعطيك وصفة طبية. خدها على الصيدلية.,سأعطيك وصفة طبية. خذها على الصيدلية.
986,احنا منسافر تلت أيام بالأسبوع، الثلاثاء، الجمعة والسبت.,نسافر بضعة أيام في الأسبوع ، يوم الثلاثاء والجمعة والسبت.
987,هيك غالي، صح؟,هيك عزيز ، أليس كذلك؟
988,اه، موجود عنا. راح نجهزلك اياه.,آه ، هناك عنا. سنقوم بإعداده لذلك.
989,ممكن تخليلي شنطي للساعة تلاتة؟,هل يمكنك التقاط ساعة صيد؟
990,لا، أنا بس بدي أقعد.,لا ، أنا فقط أريد الجلوس.
991,بقدر احجز أجر-سيارة هون؟,بقدر ما تم حجز سيارة مكافأة؟
992,انت أمريكي؟,أنت أمريكي؟
993,لهاد المكان، لو سمحت.,هذا هو المكان من فضلك.
994,سيارتي مسروقة.,سيارتي مسروقة.
995,وين ضل العيون؟,أين العيون؟
996,بدنا زاوية هادية، ازا ممكن.,نريد زاوية هادئة ، قدر الإمكان.
997,هاد التاكسي مجاني؟,هذه التاكسي مجانية؟
998,هاي محطة اكسبريس؟,مرحبا محطة إكسبريس؟
999,متى لازم آجي هون؟,متى تحتاج أجي هون؟
1000,بدي قنينة من النبيذ الأبيض.,أريد زجاجة من النبيذ الأبيض.
1001,ممم. ممكن أخد وجبتي بعدين؟ حاسس حالي مو على بعضي هلأ.,mm.can أنا أتناول وجبتي بعدين؟ أشعر أنني الحالي الخاص بي على بعض.
1002,فعلياً، عندي أخبار. أنا تزوجت.,في الواقع ، لدي أخبار.
1003,في بلاطين تانية؟,في البلاط الثاني؟
1004,بقدر آخد برنامج؟,وأنا آخذ برنامج؟
1005,في حد اقتحم غرفتي الليلة الماضية.,أي شخص اقتحم غرفتي الليلة الماضية.
1006,ورجيني السمكة اللي شفتها اليوم في كتاب الصور، لو سمحت.,وأظهر لي الأسماك التي رأيتها اليوم في كتاب الصور من فضلك.
1007,شوف الارشادات اللي على باكيدج الأكل المغلفة.,انظر الإرشادات حول الأكل المطلي.
1008,بدي فلوس من ورق.,أريد المال من الورق.
1009,هو أخد محفظتي وهرب بعيد.,أخذ محفظتي وهرب بعيدا.
1010,ما أخدت دروس عن ممر المشاة؟,ماذا أخذت دروسا حول ممر المشاة؟
1011,من وين بقدر أشتري طوابع البريد؟,من أين أشتري طوابع البريد؟
1012,أنا من بريطانيا العظمى.,انا من بريطانيا العظمى.
1013,لازم أشيك على الموضوع مع زوجتي.,لا بد لي من التحقق من الموضوع مع زوجتي.
1014,أنا بدي أعمل استرجاع لهاد.,أريد أن آخذ استعادة لهذا.
1015,هناك في كشك تليفون مقابل البنك.,يوجد في كشك الهاتف المقابل للبنك.
1016,راح أوصل بتسعة مارس وراح أروح بأربعطعش.,ذهبت إلى مارس التاسعة وذهبت إلى أربعة.
1017,هاد غالي شوي، مش شايف هيك؟,هل كان غالي شوي ، لا ترى هذا؟
1018,عندك السيجارة؟,هل معك سيجارة؟
1019,وين محطة الباص؟,أين محطة الحافلات؟
1020,بتحب الحلويات؟,هل تحب الحلويات؟
1021,انت بتحكي؟,هل تتكلم عن؟
1022,ومتله الي، لو سمحت.,ولكم ، من فضلك.
1023,طلبي ما وصل.,طلبي لم يصل.
1024,في كتير ينابيع سخنة.,في العديد من الينابيع الساخنة.
1025,لو سمحت أصرفلي خمسين ألف ين للدولار الأمريكي.,إذا سمحت بخمسون ألف ين للدولار الأمريكي.
1026,هيك تمام معي. بصراحة أنا بحب أدخن.,هيك كاملة معي.
1027,من وين ممكن استأجر أدوات سكي و بوت؟,أين يمكنني استئجار أدوات السماء والبوت؟
1028,انت نسيت عصايرنا؟,هل نسيت عصائرنا؟
1029,ممكن تبعتلي اياه على عنواني في اليابان وأستلمه من خلال صفحة الطرود الدولية؟,هل يمكنك متابعته على عنواني في اليابان واستلامه من خلال صفحة الطرود الدولية؟
1030,بدي كاسة خمر أحمر.,اريد كأس أحمر.
1031,بس ازا كانت الك، أستاذ. ههههههه، هاي مزحة صغيرة.,ولكن كان ، أستاذ.
1032,أكيد. كيف منقدر نخدمك؟,بالطبع. كيف يمكننا خدمتك؟
1033,عنا بيرة، ويسكي، براندي، جين، فوديكا وخمر.,بالنسبة لنا ، البيرة ، الويسكي ، براندي ، الجن ، الفودكا والنبيذ.
1034,هويتك الشخصية. اوه، صح. جواز سفر صح؟,هويتك الشخصية.
1035,رقم غرفتي تلاتة ستة وعشرين. ممكن تجبلي غسيلي؟,رقم غرفتي هو عشرين -هل يمكنك أن تصنعني؟
1036,راح أشوف اذا أي واحد من هدول بتزبط معي.,سأرى ما إذا كان أي واحد من زمام الأمور مرتبطًا معي.
1037,بدي غلاية مي.,أريد غلاية ماي.
1038,أعطيني شوي من الجبنة المبشورة.,أعطني جبن مبشور.
1039,ممكن يكونو قمصاني مغسولين بكرا الصبح؟,هل يمكن أن يكونوا قمصان غسلها في صباح اليوم؟
1040,ممكن تخليه يتصل فيي بعدين؟,هل يمكنك السماح له بالاتصال بي بعدين؟
1041,طيب ليش؟,لكن لماذا؟
1042,عفواً. في حولينا هون مكتبة بتبيع كتب؟,آسف ، إلينا ، هنا مكتبة تبيع الكتب؟
1043,أظن انك عملت غلط. الغرفة كانت أجرتها مدفوعة. عندي فاتورة.,أعتقد أنك ارتكبت خطأ. تم دفع الغرفة. لدي فاتورة.
1044,الباص موجود هناك فوق.,الحافلة موجودة أعلاه.
1045,بدي شريطين أيزو مية، فيلم ملون، ستة وتلاتين صورة، لو سمحت.,أريد شريطين ماتي ISO ، فيلم ملون ، ستة وصورتان ، من فضلك.
1046,بدي أصرف هاد الشيك بقيمة سبعين دولار.,أريد أن أنفق هذا الشيك بقيمة سبعين دولارًا.
1047,أنا بدي أشتري طوابع لعشر بطاقات بريدية لليابان، لو سمحت.,أريد شراء الطوابع لعشرة بطاقات بريدية لليابان ، من فضلك.
1048,في أي بنك قريب من المحطة؟,في أي بنك قريب من المحطة؟
1049,أنا خايف يكون في خطأ بالفاتورة.,أخشى أن أكون مخطئًا في مشروع القانون.
1050,هيو هون.,هون هون.
1051,واحد برجر بالجبنة عشان أروح، لو سمحت.,برغر واحد مع الجبن للذهاب ، من فضلك.
1052,ما بتقدر تعمل تصميم شغل حقيقي من دون كمبيوتر أبداً.,لا يمكنك أبدًا إنشاء تصميم عمل حقيقي بدون جهاز كمبيوتر.
1053,أركد.,ضغط.
1054,في خزق هون في بلوزتي. بدي اسألك ازا بتقدر تخيطلي اياه، لو سمحت؟,في Hun's Krohn in My Boots. أريد أن أسألك كيف يمكنك خياطةه ، من فضلك؟
1055,كم الأجرة لمانشستر؟,كم هي رسوم مانشستر؟
1056,ممكن تعيرني وصلة كهربا؟,هل يمكنك إقراض لي رابط؟
1057,من وين بقدر أشتري حصيرة للبحر؟,من أين أشتري حصيرة للبحر؟
1058,بعدين، لو سمحت أعطيني حجز جديد.,ثم ، من فضلك أعطني حجزًا جديدًا.
1059,أعطييني شريحة اللحم هاي، بس ما تكون سميكة متل هديك.,أعطني شريحة من اللحوم مرحبًا ، لكنك لست سميكًا مثل هديتك.
1060,راح نيجي الساعة سبعة.,سيكون نيجي الساعة السابعة.
1061,لما أشوف الأسعار رخيصة متل هيك، بحس أنه مسخرة الواحد يجيب أي شي من اليابان.,عندما أرى أسعارًا رخيصة مثل Heck ، بشعور من أن مجهر الشخص يجيب على أي شيء من اليابان.
1062,انسرقوا تسجيلاتي، كمان.,على حق في سجلاتي أيضًا.
1063,قرطوس بوظة على فانيلا، لو سمحت.,آيس كريم كارتو على الفانيليا ، من فضلك.
1064,أنا موافق. لازم يكون كتير طبيعي.,أوافق. يجب أن يكون طبيعيًا جدًا.
1065,انتبه للحفرة، انتبه للحفرة، بعدين قريب من البواب، لو سمحت.,انتبه إلى الحفرة ، انتبه إلى الحفرة ، وعانين بالقرب من حارس البوابة ، من فضلك.
1066,راح أحتاج لبطاقة البنك.,سأحتاج إلى البطاقة المصرفية.
1067,هون الرقم.,رقم هون.
1068,احكيلي عن موقع كويس في هاد النهر، لو سمحت.,أرني عن موقع هذا النهر من فضلك.
1069,لو سمحت أعطيني تقرير للحادث.,من فضلك أعطني تقرير الحادث.
1070,لا، شكراً الك لهلأ.,لا ، شكرا لك على هذا.
1071,اوك، لو سمحت خليك معي على الخط. السيد ناكاجيما، والست سايتو شكلهم ما بردوا على المكالمة. بتحب أرن عليها لمدة أطول شوي؟,حسنًا ، اسمحوا لي لي على الخط.ناكاجيما ، وستة سايتو ، لم ترد على الاتصال. هل ترغب في القيام بذلك لشواء أطول؟
1072,ممكن، بس لازم نوزنهم كل واحد لحاله.,ممكن ، ولكن يجب أن نجمعهم لكل واحد.
1073,شكله شوي نادر.,شكله نادر.
1074,وين استلام الشنط لرحلة الطيران رقم سبعة صفر تلاتة؟,أين حصلت الحقائب على رقم الرحلة رقم سبعة صفر ثلاثة؟
1075,مالها اشي ايدك.,أموالها هي يديك.
1076,راح يكون خراب؟,سيكون الخراب؟
1077,لا، شكراً. أنا بفضل ما أشرب بعد هيك.,لا شكرا لك ، شكرا لما أشربه بعد هيك.
1078,لو سمحت احكيلي شوية شوارع منيحة للتسوق.,إذا سمحت لي أن أخبرني شوارع النافذة للتسوق.
1079,هاد الباص بودي لفندق الهلتون؟,هذه هي الحافلة لفندق هالون؟
1080,هلأ، هاي اللوحة كتير مميزة. تسوروتارو كاتاوكا. وهو مصنف على انه فنان عالمي.,هاي ، هذه اللوحة مميزة للغاية. تم تصنيف sturotaro katawuka.it كفنان عالمي.
1081,عندي إحترام كبير الموسيقى الكلاسيكية.,لدي احترام كبير للموسيقى الكلاسيكية.
1082,بقدر أدعيك على الغدا برا ليوم؟,بقدر ما أدعوك إلى الغد بعد يوم؟
1083,تمام. شو اسم الشخص اللي من طرفك ورقم تلفونه، لو سمحت.,حسنًا ، ما هو اسم الشخص من جانبك ورقم هاتفه ، من فضلك.
1084,عفوا. مرقني، لو سمحت.,آسف. ماركني ، من فضلك.
1085,ممكن تجبلي فريق بحكي باللغة اليابانية؟,هل يمكنك عمل فريق باللغة اليابانية؟
1086,احنا منزور قرايبنا دائما وأبداً.,نحن دائما أقاربنا وليس أبدا.
1087,ميكي هاياكاوا. هاي غرفة رقم سبعة صفر اتنين.,Mickey Hayawa.hi Room رقم سبعة صفر اثنين.
1088,لازم أضل هون الليلة، بقدر؟ بتقدر تساعدني أحجز غرفة بفندق؟,يجب أن أضيء الليلة ، هل يمكنك مساعدتي في حجز غرفة فندق؟
1089,المفروض ما يطول. خمسطعشر دقيقة كحد أقصى.,من المفترض أن يكون طويلًا.
1090,بتقدر تحكيلي تكلفة هاي المكالمة؟,هل يمكن أن تخبرني تكلفة هذه المكالمة؟
1091,طيب، بتقدر تحكيلها اني اتصلت، لو سمحت؟ راح أتصل فيها مرة تانية بعدين.,حسنًا ، يمكنك أن تخبرها أنني اتصلت ، من فضلك؟ سأسميها مرة أخرى بعدين.
1092,في أي جولات صباحية؟,في أي جولات الصباح؟
1093,انت بتصرف عملات أجنبية؟,هل تتصرف العملات الأجنبية؟
1094,ميزانيتنا حوالي خمسين دولار مشمولة لتلت أشخاص.,ميزانيتنا حوالي خمسين دولار مغطى الناس.
1095,من وين بقدر أشتري شريط أو فلم تصوير؟,من أين أشتري شريطًا أو فيلمًا؟
1096,عندك بيرة يابانية؟,هل لديك بيرة يابانية؟
1097,بدي بدلة سباحة مقاسها صغير، لو سمحت.,أريد بدلة سباحة صغيرة الحجم من فضلك.
1098,بدي أسجل شنطي.,أريد تسجيل شائعات.
1099,معك الآنسة كوازو من الغرفة ألف ستطعش حدعش.,أنت ملكة جمال Kawazu من الغرفة ألف أنك سوف تكون عالقة.
1100,العفو.,عفو.
1101,ما في منهم.,ما فيهم.
1102,مين أهم الكم انتو الناس اليابانيين، ليلة راس السنة والا عيد الكريسماس؟,من هي أهم كمية ، فأنت شعب ياباني أو ليلة رأس السنة أو يوم عيد الميلاد؟
1103,رقم مقعدك اتنين وتلاتين ايه. بعدين، امشي دغري لاخر هاد الممر. المقعد اللي على الشباك.,رقم المقعد الخاص بك هو اثنين واثنان.
1104,بس دقيقة، لو سمحت.,دقيقة من فضلك.
1105,لو سمحت عبيلي تقرير المفقودات.,إذا سمحت للتقرير المفقود.
1106,أنا ما بفهم أمريكي، أنا بحكي بالانجليزي البريطاني.,أنا لا أفهم أميركيًا ، فأنا أخبر اللغة الإنجليزية البريطانية.
1107,من مبارح.,من مدحه.
1108,بيضمن تأمين الاصطدام والمسؤولية القانونية.,ضمان الاصطدام والمسؤولية القانونية.
1109,ضيعت بطاقة الاستلام تبعي.,فقدت بطاقة الإيصال.
1110,عندك أي اقتراحات بتصميمات حلوة؟,هل لديك أي اقتراحات مع التصميمات الحلوة؟
1111,أنا بحكي معك من كشك عام في ميسي.,أقول لك من كشك عام في ميسي.
1112,هدول كتيير كبار.,كيدهول كيتير كبار.
1113,كم تكلفة الصفة لكل ساعة؟,كم هي الصفة في الساعة؟
1114,السيدات والسادة، في رحلتنا اليوم، عنا حضور بحكوا اللغة اليابانية معرفين من دبوس العلم اللي لابسينه. إذا عرفتوا إنه أي حد منهم بحتاج مساعدة في اللغة، لو سمحتوا خبرونا.,السيدات والسادة ، في رحلتنا اليوم ، عن حضور اللغة اليابانية ، وتحديد أعلام العلم التي ترتديها. إذا كنت تعلم أن أي حدود تحتاج إلى مساعدة اللغة ، إذا سمحت أخبارنا.
1115,في أي نقطة معينة في الفن انت بتفضلها؟,في أي نقطة معينة في الفن تفضل؟
1116,لو سمحت اتأكد منه مرة تانية.,إذا سمحت لها بالتأكد من ذلك مرة أخرى.
1117,ضلك ماشي دغري على طول النهر حوالي نص ميل. راح تصير في الحديقة.,هذا ليس خنجرًا على طول النهر حول نص ميل. ستصبح في الحديقة.
1118,لا، هدول كتير متينيين.,لا ، الكثير من الناس ملوثون.
1119,اوك، راح أبعتلك اياهم على لاس فيجاس.,حسنًا ، سأرسلك إلى لاس فيجاس.
1120,أنا بدور على بلايز للركض.,أنا على أشواط الجري.
1121,بتحب تشرب أي اشي من البار؟,هل تحب شرب أي شيء من البار؟
1122,هاد الطريق لو سمحت. خد هاد المصعد.,بهذه الطريقة ، من فضلك ، خذ هذا المصعد.
1123,الأفضل الك تطلع بقطار الساعة تمنية ونص.,أفضل ما تنظر إليه على مدار الساعة ، متمنياً ونصًا.
1124,في هون سينيما قريبة؟,في السينما الهون القريبة؟
1125,هلأ موسم المحار، عشان هيك بيكونو زاكيين.,موسم المحار ، لأن Heck Baconu Zaki.
1126,بدي مع ساعة ايد تانية.,اريد مع ساعة ثانية.
1127,راح أنزل بالفندق حوالي الساعة تسعة بالليل.,ذهبت إلى الفندق حوالي تسع ساعات في الليل.
1128,عم بتأخر. لازم أروح.,العم تأخير. يجب أن أذهب.
1129,أنا ما استخدمت خدمة الغسيل تبعتك. بتقدر تتأكدلي من هاد مرة تانية؟,لم أستخدم خدمة الغسيل التي تبعتك. هل يمكنك التأكد من ذلك مرة أخرى؟
1130,بدي شاي، لو سمحت.,أريد الشاي من فضلك.
1131,لا، ما في.,لا يوجد.
1132,هاد آخر موقف؟,هذا هو الوضع الأخير؟
1133,خلينا نرجه.,دعونا نأمل.
1134,هاد حار كتير؟,هذا كثير من الساخنة؟
1135,من وين ممكن ألاقي باص سياحي؟,أين يمكنني أن أجد حافلة سياحية؟
1136,اه، أنا بدي أعمل مشاهد المدينة.,اه ، أريد أن أعمل على مشاهد المدينة.
1137,في كتير سياح حوالين البناية، شكلهم متجمعين عشان يشوفوا شو اللي بصير.,في العديد من السياح حول المبنى ، يتم جمع شكلهم لمعرفة ما يراه.
1138,شكراً الك على حسن الضيافة.,شكرا لك على الضيافة.
1139,الأمانة أحسن سياسة.,الأمانة هي أفضل سياسة.
1140,بتقدر تصحيني الساعة ستة، لو سمحت؟,يمكنك الاستيقاظ في الساعة السادسة ، من فضلك؟
1141,كم بكلف لمدة نص يوم؟,كم من الوقت لنص اليوم؟
1142,أنا كينجي.,أنا كينجي.
1143,بتعرف أي أماكن حلوة نشوفها في تشيكاغو؟,هل تعرف أي الأماكن الحلوة التي نراها في شيكاغو؟
1144,طيب، ازا انتو الاتنين مصرين، أنا راح أضلني واقف جنبكم.,حسنًا ، أنت المصريان ، سأقودني إلى الوقوف بجانبك.
1145,ممكن تصرف هاد لواحد تاني من نفس النوع، لو سمحت؟,هل يمكن صنع هذا النوع من نفس النوع لواحد من نفس النوع ، من فضلك؟
1146,بدي أعمل حجز للساعة تلاتة ونص المسا.,أريد أن أفعل ساعة الساعة ونص المساء.
1147,صندوق الأمان، لو سمحت.,مربع الأمان من فضلك.
1148,لو سمحت اختار خمر بناسبك.,الرجاء اختيار النبيذ في بدلتك.
1149,بدي أي مكان صغير.,اريد أي مكان صغير.
1150,لازم علي أدفع حق البنزين؟,لا بد لي من دفع حق البنزين؟
1151,حرامي. امسكه.,harami.hold ذلك.
1152,احنا منستني صحابنا يجو.,لقد نسينا رفاقي.
1153,لو سمحت أعطيني شوية فراطة.,من فضلك أعطني قليلا.
